1.2198e-06,-3.9596e-06,3.6e-05,6.3552e-06,-4.1322e-05,-6.7784e-05
-1.7196e-05,-1.7789e-06,-3.7957e-05,-6.5212e-06,-4.0911e-05,-8.6581e-05
0.00023482,-0.0012013,-3.7364e-05,1.2449e-05,-3.5575e-06,-0.00146
0.00094342,-0.0036912,-2.0758e-05,5.1576e-05,8.1822e-05,-0.0040142
0.0020612,-0.0073527,4.7446e-06,0.00012272,0.00020515,-0.0076346
0.0035229,-0.012103,3.855e-05,0.00019267,0.00037116,-0.01222
0.0052923,-0.017717,0.0001115,0.00028575,0.00056505,-0.017567
0.0075735,-0.024984,0.00019394,0.00039838,0.00082119,-0.024411
0.0098049,-0.032037,0.00027934,0.00051695,0.001075,-0.031025
0.012188,-0.039592,0.00036652,0.00063967,0.0013447,-0.03809
0.014719,-0.047532,0.00046201,0.00076001,0.0016281,-0.04547
0.017377,-0.055925,0.0005735,0.00089992,0.0019305,-0.053283
0.020458,-0.065644,0.00068738,0.0010511,0.0022875,-0.062312
0.023274,-0.074617,0.00081489,0.0011851,0.0026195,-0.070587
0.026176,-0.083731,0.00094358,0.0013291,0.0029438,-0.07906
0.029155,-0.093158,0.0010675,0.0014631,0.0032877,-0.087767
0.032162,-0.10264,0.0012004,0.0016107,0.0036275,-0.096545
0.035617,-0.11354,0.0013492,0.0017874,0.0040449,-0.10663
0.038724,-0.12336,0.0014928,0.0019338,0.004403,-0.11569
0.041876,-0.1334,0.001628,0.0020897,0.0047819,-0.12499
0.045048,-0.14342,0.0017739,0.0022439,0.0051489,-0.13426
0.04827,-0.1536,0.0019281,0.0023927,0.0055266,-0.14363
0.051507,-0.16379,0.0020746,0.0025427,0.0059025,-0.15309
0.055198,-0.17556,0.0022448,0.0027158,0.0063472,-0.16393
0.05847,-0.18592,0.0024014,0.0028687,0.0067195,-0.17352
0.061782,-0.19642,0.002568,0.0030246,0.0071132,-0.1832
0.065115,-0.20696,0.0027282,0.0031746,0.0074974,-0.19295
0.06849,-0.21762,0.0028877,0.0033353,0.0078976,-0.2028
0.072284,-0.22962,0.0030721,0.0035173,0.0083388,-0.21392
0.075639,-0.24032,0.0032364,0.0036702,0.0087443,-0.22379
0.079054,-0.25106,0.0034007,0.0038261,0.0091362,-0.23371
0.082482,-0.26198,0.0035662,0.0039998,0.0095531,-0.24376
0.085905,-0.27277,0.0037346,0.0041593,0.009961,-0.25375
0.089705,-0.28491,0.0039244,0.0043431,0.010435,-0.26499
0.093129,-0.29578,0.0040821,0.0045085,0.010859,-0.27509
0.096599,-0.30683,0.0042696,0.0046662,0.011275,-0.28529
0.10005,-0.31775,0.0044522,0.0048079,0.011674,-0.29543
0.10352,-0.32878,0.0046266,0.0049662,0.012087,-0.30562
0.10743,-0.34113,0.0048442,0.0051422,0.012534,-0.3171
0.11093,-0.35228,0.0050234,0.0053029,0.012955,-0.32736
0.11442,-0.36332,0.0052191,0.0054535,0.013361,-0.33761
0.1179,-0.37445,0.0054023,0.0056106,0.013788,-0.34793
0.1214,-0.38551,0.0056141,0.0057611,0.014163,-0.35815
0.12493,-0.39677,0.005795,0.0059431,0.014595,-0.36858
0.12892,-0.40933,0.0059741,0.0061465,0.015083,-0.38023
0.13241,-0.42047,0.0061579,0.0063125,0.015517,-0.39056
0.13597,-0.43175,0.0063465,0.0064891,0.015946,-0.40103
0.1395,-0.4429,0.0065517,0.0066516,0.016356,-0.4114
0.14303,-0.45413,0.0067302,0.0068294,0.016803,-0.42179
0.14699,-0.46674,0.0069378,0.0070215,0.017293,-0.4335
0.15054,-0.47805,0.0071335,0.0071928,0.017735,-0.44403
0.15405,-0.48927,0.0073251,0.0073819,0.018169,-0.45443
0.1576,-0.50053,0.0075374,0.0075551,0.01858,-0.46486
0.16116,-0.51175,0.0077195,0.0077282,0.018996,-0.47532
0.16517,-0.52449,0.0079401,0.0079469,0.019489,-0.48714
0.16871,-0.53572,0.0081512,0.0081153,0.019894,-0.49759
0.17226,-0.54705,0.0083387,0.0083103,0.020352,-0.50811
0.17577,-0.55828,0.0085018,0.0085048,0.020818,-0.51856
0.17936,-0.56959,0.0087022,0.0086808,0.021252,-0.52911
0.18333,-0.58226,0.0089133,0.0089097,0.021724,-0.5409
0.18689,-0.59352,0.0091352,0.0090964,0.022168,-0.55139
0.19044,-0.60479,0.009319,0.0092861,0.022586,-0.56186
0.19403,-0.61612,0.0094969,0.0095025,0.023063,-0.57248
0.1976,-0.62734,0.0097259,0.0096887,0.023498,-0.58294
0.2012,-0.63855,0.0099198,0.0098701,0.023916,-0.59354
0.20522,-0.65119,0.010162,0.010068,0.024402,-0.60528
0.20881,-0.66255,0.010379,0.010279,0.024828,-0.61584
0.21237,-0.67376,0.010559,0.010482,0.02529,-0.62634
0.2159,-0.68505,0.010769,0.010691,0.025764,-0.63685
0.21946,-0.69623,0.010987,0.010891,0.026196,-0.64728
0.22348,-0.70889,0.01123,0.011116,0.026719,-0.65921
0.22709,-0.7201,0.01142,0.011315,0.027146,-0.66963
0.23063,-0.73132,0.011663,0.011498,0.027584,-0.6801
0.23414,-0.7424,0.011901,0.011678,0.02802,-0.69058
